idx,delta,thinkingTime,rot
0,0.2849934,3.68,5.784767
1,0.1482131,1.48,14.40868
2,0.1283224,0.03999996,8.157286
3,0.509473,0.03999996,5.864314
4,0.2027274,1.22,7.951383
5,0.01153564,3.240001,5.660626
6,0.3552364,0.4200001,10.63704
7,0.02998567,3.260001,9.035399
8,0.06485015,2.120001,13.15996
9,0.5359337,1.4,14.08692
10,0.176384,0.9599991,5.488669
11,0.4141645,1.140001,6.062662
12,0.24715,1.039999,9.380461
13,0.02056396,1,6.60036
14,0.07155955,2.479998,12.23638
15,0.1222836,1.32,7.838327
16,0.03884625,4.900002,6.928483
17,0.1075401,0.9199982,10.77664
18,0.03503233,2.68,6.454803
19,0.05902249,2.620003,9.961785
20,0.3713911,1.32,8.648895
21,0.04033232,3.100002,9.617085
22,0.02789402,1,12.84307
23,0.06552422,0.04000092,8.272125
24,0.2047715,3.440002,7.830934
25,0.06432937,4.5,5.047922
26,0.2129691,4.279999,6.107581
27,1.6866,0.03999329,12.75689
28,0.2772868,0.02000427,13.78306
29,0.4193128,1.360001,9.247316
30,0.19376,0.840004,11.31583
31,0.07875764,1.419998,10.3141
32,0.07386327,2.5,13.29345
33,3.002864,0.02000427,11.59265
34,0.3967658,0.09999847,6.940821
35,0.154774,1.119995,11.83679
36,0.3657204,1,11.59686
37,0.1371021,2.760002,9.241125
38,0.2066051,2.739998,14.33218
39,0.1160168,1.479996,9.962575
40,0.0809232,0.5,5.64803
41,0.4873284,1.459999,14.30418
42,0.250602,2.879997,13.71942
43,0.1491057,2.660004,7.013946
44,0.180796,1.199997,8.234124
45,0.08532822,5.919998,5.177534
46,0.05980888,3.020004,9.346374
47,0.1672341,2.659996,10.23062
48,0.3015963,1.339996,8.721735
49,0.03117636,2.779999,7.879909
50,0.01337558,1.26001,7.809481
51,0.09808695,4.480011,9.60904
52,0.3351647,0.6999969,10.95797
53,0.009317398,3.119995,6.387197
54,0.05291373,2.639999,11.01196
55,0.1603941,2.720001,10.84917
56,0.3733736,1,13.4171
57,0.1483945,3.079987,9.447159
58,0.1862478,2.87999,5.026051
59,0.1409788,2.940002,7.131253
60,0.00155139,4.559998,6.177945
61,0.03660947,2.5,11.23714
62,3.027968,0.02000427,9.280993
63,0.4320298,0.1000061,9.714952
64,2.227422,0.04000854,12.17918
65,0.3343107,1.979996,14.5939
66,0.08780523,2.740005,7.211779
67,0.1751822,2.779999,14.10648
68,0.08818614,2.840012,10.30321
69,0.3693243,1,10.28991
70,0.05892394,2.939987,9.063756
71,0.1795039,3.059998,12.36824
72,0.09449369,0.7599945,6.76166
73,0.3707383,0.04000854,8.607413
74,0.1337636,0.2600098,7.418566
75,0.4086374,1.160004,6.675672
76,0.08603007,2.720001,8.977288
77,0.2422502,3.160004,6.140909
78,0.1537011,0.7999878,6.873491
79,0.001333833,6.080002,7.391333
80,0.05738294,3.019989,9.445379
81,0.2836608,1.23999,10.60735
82,0.07670015,0.6399994,14.03652
83,0.3362115,1.560013,10.40426
84,0.0172585,2.5,7.858287
85,0.03664958,2.880005,6.593368
86,0.3840866,4.859985,13.83307
87,0.3076323,2.639999,12.85014
88,0.01676685,2.820007,11.28224
89,0.1136281,2.680008,12.23022
90,0.4537337,1.539993,7.851519
91,0.2179379,2.460007,11.82337
92,0.2063197,2.880005,10.49389
93,0.2845799,1.160004,10.51469
94,0.880105,0.01998901,10.82935
95,0.176527,0.3399963,7.09112
96,0.3980975,0.8999939,11.79649
97,0.07074519,2.720001,9.384068
98,0.1588264,2.73999,14.27789
99,0.4524638,1.179993,12.22742
100,0.1452997,0.9400024,5.444371
101,0.399235,1.119995,14.60545
102,0.1152807,0.6600037,8.20698
103,0.2717212,1.259979,11.54959
104,0.1703478,6.559998,11.97004
105,0.3547286,1,14.83194
106,0.07206154,0.5400085,13.18751
107,0.1412358,1.539978,7.938822
108,0.1749311,2.779999,10.82089
109,0.3466767,1.339996,14.5102
110,0.3108206,0.4199829,8.476499
111,0.5127534,1.359985,6.189553
112,0.4023894,2.740021,14.88462
113,0.09298819,2.699982,7.709046
114,0.09051365,1.420013,7.459558
115,2.891925,0.03997803,12.60255
116,0.0509783,0.09997559,6.930745
117,0.4585228,0.7600098,13.76541
118,0.1039891,1.320007,7.423934
119,0.1007167,0.6199951,9.940197
120,0.04558122,3.040009,11.83786
121,0.2736136,1.459991,14.27294
122,0.0027349,0.3800049,11.02974
123,0.3669699,1.320007,14.88144
124,0.0957059,2.76001,6.612979
125,0.3565371,2.97998,7.955257
126,0.4604996,4.679993,14.48865
127,0.1401412,2.580017,10.43448
128,0.1923892,3,5.527441
129,0.285723,0.9599915,10.85419
130,0.398573,2.97998,14.44971
131,0.2240486,2.619995,10.84585
132,0.177315,2.97998,11.06595
133,0.16877,2.839996,8.149665
134,0.4413864,1.119995,12.14984
135,0.333353,2.660004,13.76122
136,0.1868433,2.819977,6.191133
137,0.4275979,4.73999,14.19053
138,0.2068701,0.7200012,10.69503
139,0.03847897,1.399994,7.791571
140,0.08026457,2.619995,9.462839
141,0.1531938,1.52002,11.78469
142,0.3300372,2.639984,12.80001
143,0.02599251,2.799988,9.000703
144,0.1114731,2.540009,9.790208
145,0.1597301,2.960022,8.772008
146,0.3685938,1.420013,12.98246
147,0.2876662,2.359985,12.6062
148,0.0342133,2.619995,9.397857
149,0.1267014,2.899994,13.88619
150,0.3401403,1.079987,7.924949
151,0.04803804,2.839996,7.386574
152,0.1439528,2.880005,12.12592
153,2.190889,0.01998901,10.70872
154,0.6767935,0.09997559,6.428578
155,0.08662595,0.03997803,12.95734
156,0.1928176,4.139984,8.687365
157,0.01504296,0.8800049,7.13724
158,0.2535154,2.779999,12.2857
159,1.792452,0.01998901,11.32243
160,0.01408863,0.07998657,9.795316
161,0.151741,0.980011,6.557092
162,0.1188872,4.019989,9.796031
163,0.1706396,3.360016,8.701045
164,0.3909771,1.360016,14.58404
165,0.1498343,0.7399902,6.868981
166,0.3694417,1.059998,9.355856
167,0.002500296,2.779999,5.501703
168,0.2045324,2.940002,6.530668
169,0.1705422,2.600006,13.72337
170,0.4794358,1.380005,12.02417
171,0.05753636,0.3999939,13.84316
172,0.06439567,1.619995,5.066507
173,0.1369479,2.73999,13.83198
174,0.002131224,2.359985,14.86864
175,0.402441,1.5,13.53056
176,0.1853012,0.5800171,13.17388
177,0.03872806,1.279999,5.633299
178,0.1047046,2.779999,10.14717
179,0.1842048,3.199982,5.581412
180,0.4251693,0.7200012,9.829716
181,0.3065257,2.899994,12.89547
182,0.2955343,2.880005,13.3307
183,0.09399682,2.700012,7.104115
184,0.5144567,1.26001,7.304446
185,0.005876541,2.859985,6.24684
186,0.1165548,2.47998,10.7728
187,0.09363484,2.800049,13.91807
188,0.3740123,1.159973,13.72687
189,0.1840349,0.7600098,11.34476
190,0.1512946,1.640015,10.56647
191,0.02777451,2.5,7.197582
192,0.07529163,2.5,14.22225
193,0.4147015,1.580017,13.26062
194,0.006730556,0.539978,12.59085
195,0.05003577,1.559998,5.162072
196,0.1592813,2.639954,11.77384
197,0.1492541,0.6799927,6.60126
198,0.6947407,0.03997803,8.422822
199,0.231583,4.380005,10.56561
200,0.05122782,0.8400269,8.31219
201,0.1849427,2.959961,14.58078
202,0.1431718,2.899963,9.738504
203,0.05060744,4.799988,8.09772
204,0.05955833,2.179993,6.234732
205,0.1916755,3,12.33517
206,0.1782476,2.619995,5.337175
