Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.952,732.665,715.626,10241,-0.011
SingleSwingLearning,0.670,1400.083,648.062,10241,-0.007
SingleSwingLearning,0.674,1996.336,576.214,10246,-0.011
SingleSwingLearning,0.634,2562.314,547.690,10241,-0.011
SingleSwingLearning,0.638,3110.819,533.788,10242,-0.012
SingleSwingLearning,0.665,3616.683,487.688,10241,-0.012
SingleSwingLearning,0.603,4083.549,453.834,10241,-0.013
SingleSwingLearning,0.634,4527.013,430.812,10241,-0.014
SingleSwingLearning,0.622,4947.307,407.253,10241,-0.015
SingleSwingLearning,0.661,5318.108,355.756,10243,-0.015
SingleSwingLearning,0.629,5653.776,320.832,10263,-0.014
SingleSwingLearning,0.617,5959.882,294.712,10241,-0.014
SingleSwingLearning,0.647,6232.348,261.709,10242,-0.013
SingleSwingLearning,0.656,6477.023,232.291,10247,-0.012
SingleSwingLearning,0.619,6698.297,209.704,10250,-0.011
SingleSwingLearning,0.622,6890.559,183.482,10242,-0.010
SingleSwingLearning,0.648,7066.286,165.116,10242,-0.009
SingleSwingLearning,0.640,7220.545,144.051,10243,-0.008
SingleSwingLearning,0.652,7362.419,130.912,10246,-0.007
SingleSwingLearning,0.614,7493.046,119.773,10296,-0.005
SingleSwingLearning,0.650,7615.458,111.936,10249,-0.004
SingleSwingLearning,0.656,7724.608,99.776,10300,-0.002
SingleSwingLearning,0.643,7834.591,100.685,10242,-0.000
SingleSwingLearning,0.642,7936.860,93.166,10259,0.001
SingleSwingLearning,0.655,8041.975,95.233,10258,0.003
SingleSwingLearning,0.615,8148.017,96.979,10284,0.004
SingleSwingLearning,0.627,8241.556,85.729,10267,0.006
SingleSwingLearning,0.617,8334.294,85.013,10249,0.007
SingleSwingLearning,0.621,8425.776,83.572,10267,0.009
SingleSwingLearning,0.630,8514.859,81.290,10267,0.010
SingleSwingLearning,0.604,8605.059,82.463,10266,0.012
SingleSwingLearning,0.630,8689.462,76.606,10262,0.014
SingleSwingLearning,0.620,8771.383,74.224,10251,0.015
SingleSwingLearning,0.642,8860.919,81.568,10278,0.017
SingleSwingLearning,0.638,8958.723,89.154,10260,0.019
SingleSwingLearning,0.620,9052.714,85.120,10285,0.020
SingleSwingLearning,0.655,9143.881,82.005,10243,0.022
SingleSwingLearning,0.637,9229.655,76.476,10282,0.024
SingleSwingLearning,0.652,9317.681,78.748,10242,0.025
SingleSwingLearning,0.608,9403.828,76.990,10248,0.027
SingleSwingLearning,0.667,9491.393,78.397,10245,0.028
SingleSwingLearning,0.632,9586.970,86.020,10252,0.028
SingleSwingLearning,0.652,9679.658,83.205,10244,0.029
SingleSwingLearning,0.667,9769.458,80.983,10258,0.029
SingleSwingLearning,0.655,9862.957,84.000,10243,0.029
SingleSwingLearning,0.622,9950.083,78.062,10298,0.029
SingleSwingLearning,0.642,10040.810,81.292,10282,0.030
SingleSwingLearning,0.623,10130.029,79.922,10272,0.030
SingleSwingLearning,0.622,10224.192,84.456,10296,0.031
SingleSwingLearning,0.639,10314.700,81.145,10265,0.031
SingleSwingLearning,0.640,10404.698,80.739,10261,0.032
SingleSwingLearning,0.621,10498.174,85.597,10259,0.032
SingleSwingLearning,0.599,10587.093,81.347,10264,0.033
SingleSwingLearning,0.604,10677.539,82.950,10277,0.033
SingleSwingLearning,0.606,10766.050,80.904,10248,0.034
SingleSwingLearning,0.649,10863.320,89.518,10244,0.035
SingleSwingLearning,0.617,10965.555,93.483,10275,0.035
