Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.860,720.511,705.348,10241,0.406
SingleSwingLearning,0.631,1372.075,638.035,10241,0.405
SingleSwingLearning,0.664,2021.345,634.195,10241,0.404
SingleSwingLearning,0.630,2687.517,651.788,10242,0.405
SingleSwingLearning,0.634,3348.961,646.643,10243,0.405
SingleSwingLearning,0.621,4026.434,663.615,10243,0.405
SingleSwingLearning,0.637,4739.927,699.482,10241,0.405
SingleSwingLearning,0.637,5421.791,668.133,10242,0.404
SingleSwingLearning,0.641,6123.384,685.698,10242,0.402
SingleSwingLearning,0.633,6868.295,728.484,10242,0.402
SingleSwingLearning,0.668,7542.316,658.757,10241,0.402
SingleSwingLearning,0.644,8134.605,578.201,10241,0.402
SingleSwingLearning,0.619,8751.662,602.512,10241,0.403
SingleSwingLearning,0.647,9387.540,621.712,10244,0.403
SingleSwingLearning,0.653,9956.720,554.963,10255,0.404
SingleSwingLearning,0.623,10498.364,527.249,10244,0.405
SingleSwingLearning,0.620,11012.825,498.979,10284,0.406
SingleSwingLearning,0.640,11503.460,476.004,10276,0.407
SingleSwingLearning,0.675,11985.827,469.719,10269,0.408
SingleSwingLearning,0.651,12451.389,450.727,10245,0.409
SingleSwingLearning,0.627,12907.529,443.196,10284,0.410
SingleSwingLearning,0.634,13314.803,395.828,10242,0.411
SingleSwingLearning,0.627,13716.487,390.204,10242,0.412
SingleSwingLearning,0.627,14094.425,364.892,10241,0.413
SingleSwingLearning,0.616,14464.658,359.104,10247,0.414
SingleSwingLearning,0.601,14824.143,347.251,10255,0.415
SingleSwingLearning,0.623,15166.591,331.627,10254,0.416
SingleSwingLearning,0.651,15491.826,314.267,10254,0.417
SingleSwingLearning,0.614,15828.720,325.058,10274,0.418
SingleSwingLearning,0.612,16158.453,319.261,10247,0.419
SingleSwingLearning,0.654,16470.969,300.938,10276,0.420
SingleSwingLearning,0.651,16766.419,284.084,10245,0.421
SingleSwingLearning,0.645,17077.248,298.751,10269,0.423
SingleSwingLearning,0.615,17388.028,299.403,10279,0.424
SingleSwingLearning,0.605,17678.781,278.749,10264,0.425
SingleSwingLearning,0.631,17951.298,262.387,10248,0.426
SingleSwingLearning,0.627,18218.930,257.572,10267,0.427
SingleSwingLearning,0.602,18483.784,252.833,10249,0.428
SingleSwingLearning,0.601,18691.338,198.143,10252,0.429
SingleSwingLearning,0.626,18852.020,151.859,10258,0.428
SingleSwingLearning,0.624,19016.891,155.992,10268,0.428
SingleSwingLearning,0.624,19163.602,137.856,10303,0.427
SingleSwingLearning,0.593,19317.818,143.435,10247,0.427
SingleSwingLearning,0.619,19471.588,142.666,10261,0.427
SingleSwingLearning,0.608,19631.671,151.292,10287,0.426
SingleSwingLearning,0.627,19795.960,155.548,10284,0.426
SingleSwingLearning,0.618,19957.917,153.113,10245,0.425
SingleSwingLearning,0.624,20112.488,145.758,10254,0.425
SingleSwingLearning,0.619,20274.024,152.256,10249,0.425
SingleSwingLearning,0.630,20445.039,161.565,10244,0.425
SingleSwingLearning,0.624,20613.803,159.182,10274,0.424
SingleSwingLearning,0.645,20795.150,171.657,10261,0.424
SingleSwingLearning,0.626,20965.386,160.678,10275,0.424
SingleSwingLearning,0.612,21138.602,163.579,10281,0.424
SingleSwingLearning,0.653,21313.107,163.802,10244,0.424
SingleSwingLearning,0.636,21493.832,170.781,10269,0.423
SingleSwingLearning,0.619,21667.335,162.039,10247,0.423
SingleSwingLearning,0.597,21838.367,160.326,10241,0.423
SingleSwingLearning,0.625,21994.616,147.002,10299,0.423
SingleSwingLearning,0.632,22170.969,166.664,10302,0.424
SingleSwingLearning,0.611,22320.581,139.896,10247,0.424
SingleSwingLearning,0.610,22471.859,141.848,10242,0.424
SingleSwingLearning,0.625,22632.884,151.661,10244,0.424
SingleSwingLearning,0.622,22795.188,152.883,10275,0.424
SingleSwingLearning,0.611,22939.087,134.802,10270,0.425
SingleSwingLearning,0.629,23085.117,136.806,10283,0.425
SingleSwingLearning,0.637,23232.778,138.382,10277,0.425
SingleSwingLearning,0.626,23374.349,132.480,10293,0.426
SingleSwingLearning,0.629,23507.686,124.353,10248,0.426
SingleSwingLearning,0.628,23634.924,118.303,10242,0.426
SingleSwingLearning,0.630,23767.468,123.319,10263,0.427
SingleSwingLearning,0.632,23892.088,115.745,10253,0.427
SingleSwingLearning,0.666,24019.939,119.118,10247,0.428
SingleSwingLearning,0.614,24150.866,121.385,10268,0.429
SingleSwingLearning,0.614,24273.298,112.002,10275,0.429
SingleSwingLearning,0.623,24397.643,113.719,10247,0.430
SingleSwingLearning,0.611,24518.646,112.392,10302,0.431
SingleSwingLearning,0.610,24631.070,104.265,10251,0.431
SingleSwingLearning,0.611,24741.735,102.436,10251,0.432
