Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.904,14.351,11.656,10250,-0.340
SaverLearning,0.725,28.022,12.005,10245,-0.281
SaverLearning,0.669,42.190,12.503,10251,-0.228
SaverLearning,0.698,57.834,13.844,10244,-0.144
SaverLearning,0.697,75.828,16.019,10242,-0.061
SaverLearning,0.678,93.551,15.786,10245,0.012
SaverLearning,0.689,110.271,14.862,10241,0.081
SaverLearning,0.691,125.189,13.169,10245,0.140
SaverLearning,0.678,138.330,11.536,10242,0.195
SaverLearning,0.681,149.933,10.133,10245,0.244
SaverLearning,0.691,161.184,9.779,10243,0.287
SaverLearning,0.690,172.036,9.420,10246,0.326
SaverLearning,0.680,182.866,9.409,10248,0.359
SaverLearning,0.672,193.534,9.258,10241,0.391
SaverLearning,0.666,203.882,8.970,10253,0.418
SaverLearning,0.675,213.871,8.622,10243,0.443
SaverLearning,0.666,223.667,8.459,10241,0.465
SaverLearning,0.675,233.367,8.359,10260,0.486
SaverLearning,0.679,242.674,7.974,10249,0.506
SaverLearning,0.678,251.877,7.917,10249,0.524
SaverLearning,0.680,260.866,7.710,10245,0.540
SaverLearning,0.666,269.808,7.668,10245,0.555
SaverLearning,0.674,278.778,7.668,10243,0.570
SaverLearning,0.680,287.744,7.687,10242,0.583
SaverLearning,0.675,296.793,7.773,10249,0.596
SaverLearning,0.679,305.814,7.734,10243,0.608
SaverLearning,0.702,314.943,7.807,10243,0.619
SaverLearning,0.661,323.823,7.615,10256,0.630
SaverLearning,0.668,332.469,7.418,10249,0.639
SaverLearning,0.653,340.855,7.178,10248,0.648
SaverLearning,0.672,349.105,7.018,10252,0.656
SaverLearning,0.687,357.383,7.029,10243,0.664
SaverLearning,0.708,365.478,6.862,10244,0.671
SaverLearning,0.682,374.785,7.953,10254,0.678
SaverLearning,0.686,383.814,7.675,10246,0.684
SaverLearning,0.701,392.984,7.829,10249,0.691
SaverLearning,0.713,402.393,8.008,10260,0.697
SaverLearning,0.671,411.987,8.198,10242,0.702
SaverLearning,0.669,421.358,8.077,10249,0.708
SaverLearning,0.668,429.974,7.356,10270,0.714
SaverLearning,0.670,438.774,7.503,10251,0.719
SaverLearning,0.664,447.408,7.391,10242,0.724
