Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.341,5.178,0.592,163,-0.326
SaverLearning,3.079,8.805,0.528,164,-0.315
SaverLearning,3.052,12.567,0.686,165,-0.322
SaverLearning,3.078,16.254,0.587,162,-0.334
SaverLearning,3.090,19.983,0.614,163,-0.291
SaverLearning,3.050,23.667,0.610,164,-0.273
SaverLearning,3.098,27.457,0.665,162,-0.238
SaverLearning,3.106,31.252,0.662,163,-0.196
SaverLearning,3.005,34.984,0.699,161,-0.144
SaverLearning,3.092,38.918,0.808,161,-0.086
SaverLearning,3.020,42.778,0.805,162,-0.051
SaverLearning,3.018,46.624,0.794,162,-0.010
SaverLearning,3.159,50.597,0.781,162,0.013
SaverLearning,3.117,54.654,0.900,161,0.036
SaverLearning,3.108,58.560,0.766,162,0.062
SaverLearning,3.070,62.559,0.889,161,0.084
SaverLearning,3.061,66.441,0.784,161,0.102
SaverLearning,3.149,70.573,0.941,163,0.117
SaverLearning,3.033,74.541,0.896,161,0.126
SaverLearning,3.037,78.358,0.747,161,0.139
SaverLearning,2.998,82.323,0.923,163,0.158
SaverLearning,3.095,86.279,0.823,163,0.171
SaverLearning,3.004,90.316,0.986,161,0.180
SaverLearning,3.088,94.408,0.960,162,0.191
SaverLearning,3.052,98.411,0.905,161,0.203
SaverLearning,3.022,102.492,1.018,164,0.217
SaverLearning,3.059,106.508,0.921,165,0.224
SaverLearning,3.051,110.507,0.912,165,0.231
SaverLearning,3.067,114.614,0.999,161,0.239
SaverLearning,3.073,118.763,1.032,164,0.249
SaverLearning,3.072,122.889,1.011,163,0.255
SaverLearning,3.143,127.107,1.030,162,0.266
SaverLearning,3.116,131.292,1.026,162,0.270
SaverLearning,3.086,135.617,1.189,163,0.279
SaverLearning,3.121,139.721,0.942,161,0.284
SaverLearning,3.097,143.882,1.020,161,0.289
SaverLearning,3.037,147.869,0.911,162,0.296
SaverLearning,3.075,151.977,0.988,161,0.300
SaverLearning,3.105,156.097,0.971,161,0.304
SaverLearning,3.082,160.261,1.033,162,0.304
SaverLearning,3.122,164.326,0.902,164,0.313
SaverLearning,3.078,168.434,0.987,162,0.316
SaverLearning,3.073,172.496,0.945,162,0.321
SaverLearning,3.074,176.669,1.057,166,0.325
SaverLearning,3.057,180.686,0.921,163,0.329
SaverLearning,3.088,184.671,0.861,163,0.335
SaverLearning,3.056,188.760,0.990,162,0.340
SaverLearning,3.077,192.956,1.072,161,0.346
SaverLearning,3.015,197.105,1.088,164,0.351
SaverLearning,2.998,201.202,1.052,162,0.356
SaverLearning,3.083,205.460,1.122,161,0.359
SaverLearning,3.100,209.713,1.105,163,0.364
SaverLearning,3.010,213.833,1.064,163,0.367
SaverLearning,3.092,218.129,1.152,165,0.375
SaverLearning,3.104,222.433,1.148,165,0.381
SaverLearning,3.055,226.657,1.120,162,0.387
SaverLearning,3.019,230.918,1.187,161,0.389
SaverLearning,3.022,235.143,1.148,164,0.394
SaverLearning,3.105,239.502,1.199,161,0.399
SaverLearning,3.067,243.886,1.265,163,0.401
SaverLearning,3.107,248.433,1.380,161,0.403
SaverLearning,3.059,252.889,1.340,162,0.406
SaverLearning,3.037,257.253,1.272,161,0.409
SaverLearning,3.087,261.680,1.285,162,0.414
SaverLearning,3.137,266.369,1.487,161,0.417
SaverLearning,3.109,270.697,1.166,162,0.421
SaverLearning,3.031,275.150,1.362,161,0.425
SaverLearning,3.065,279.518,1.247,162,0.428
SaverLearning,3.115,284.186,1.487,161,0.433
SaverLearning,3.125,288.630,1.261,161,0.437
SaverLearning,3.089,292.994,1.218,163,0.443
SaverLearning,3.070,297.498,1.370,163,0.449
SaverLearning,3.122,301.951,1.275,161,0.454
SaverLearning,3.062,306.256,1.192,162,0.458
SaverLearning,3.053,310.644,1.280,161,0.462
SaverLearning,3.123,315.092,1.270,161,0.466
SaverLearning,3.075,319.483,1.261,161,0.470
SaverLearning,3.044,323.947,1.361,163,0.474
SaverLearning,3.112,328.367,1.253,163,0.479
SaverLearning,3.138,332.867,1.302,161,0.482
SaverLearning,3.075,337.355,1.351,161,0.484
SaverLearning,3.061,341.715,1.243,161,0.488
SaverLearning,3.121,346.325,1.424,161,0.491
SaverLearning,3.108,350.904,1.406,162,0.493
SaverLearning,3.150,355.306,1.198,164,0.498
SaverLearning,3.095,359.770,1.313,161,0.501
SaverLearning,3.107,364.229,1.293,161,0.505
SaverLearning,3.119,368.767,1.357,161,0.508
