Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.419,5.366,0.660,168,-0.155
SaverLearning,2.985,8.956,0.582,164,-0.085
SaverLearning,3.047,12.688,0.661,165,-0.047
SaverLearning,3.090,16.443,0.640,163,-0.043
SaverLearning,3.034,20.055,0.558,161,-0.007
SaverLearning,3.046,23.716,0.592,162,0.047
SaverLearning,3.067,27.511,0.701,161,0.085
SaverLearning,3.010,31.197,0.652,161,0.154
SaverLearning,3.011,35.031,0.788,161,0.206
SaverLearning,3.053,39.204,1.072,161,0.252
SaverLearning,3.059,43.489,1.177,162,0.288
SaverLearning,3.061,47.707,1.109,163,0.319
SaverLearning,3.026,51.982,1.195,161,0.348
SaverLearning,3.030,56.261,1.197,163,0.371
SaverLearning,3.025,60.568,1.228,164,0.389
SaverLearning,3.066,65.087,1.389,161,0.412
SaverLearning,3.028,69.639,1.455,161,0.431
SaverLearning,3.013,74.186,1.464,161,0.446
SaverLearning,3.003,78.812,1.549,165,0.463
SaverLearning,2.929,82.991,1.201,161,0.476
SaverLearning,3.012,87.453,1.394,163,0.483
SaverLearning,3.037,92.050,1.497,162,0.491
SaverLearning,3.082,96.533,1.343,164,0.503
SaverLearning,3.045,101.144,1.502,161,0.514
SaverLearning,2.999,105.609,1.405,161,0.521
SaverLearning,3.017,110.394,1.691,162,0.529
SaverLearning,3.014,115.110,1.631,161,0.539
SaverLearning,3.064,119.755,1.514,162,0.548
SaverLearning,3.086,124.689,1.767,163,0.555
SaverLearning,3.048,129.689,1.868,161,0.562
SaverLearning,3.027,134.578,1.783,161,0.570
SaverLearning,2.991,139.507,1.861,161,0.575
SaverLearning,3.072,144.463,1.806,162,0.580
SaverLearning,3.037,149.355,1.774,163,0.586
SaverLearning,3.045,154.425,1.939,162,0.591
SaverLearning,3.082,159.570,1.973,162,0.593
SaverLearning,2.996,164.697,2.036,161,0.598
SaverLearning,3.009,169.754,1.961,161,0.602
SaverLearning,3.046,174.907,2.013,161,0.605
SaverLearning,3.042,179.856,1.826,162,0.608
SaverLearning,3.033,184.601,1.640,161,0.613
SaverLearning,2.994,189.487,1.809,161,0.616
SaverLearning,3.007,194.454,1.875,161,0.618
SaverLearning,3.041,199.526,1.945,161,0.619
SaverLearning,3.027,204.698,2.055,162,0.624
SaverLearning,3.070,209.972,2.101,161,0.626
SaverLearning,3.006,214.944,1.877,162,0.631
SaverLearning,3.070,219.954,1.858,161,0.633
SaverLearning,3.069,225.081,1.968,163,0.635
SaverLearning,3.015,230.281,2.093,161,0.637
SaverLearning,3.046,235.011,1.614,161,0.641
SaverLearning,3.007,240.189,2.078,161,0.643
SaverLearning,3.017,245.253,1.959,162,0.645
SaverLearning,3.032,250.293,1.923,162,0.647
SaverLearning,2.993,255.478,2.093,162,0.651
SaverLearning,2.998,260.886,2.310,161,0.653
SaverLearning,3.051,266.114,2.088,161,0.655
SaverLearning,3.023,271.223,1.999,161,0.655
SaverLearning,3.027,276.364,2.026,164,0.657
SaverLearning,3.007,281.375,1.918,161,0.659
SaverLearning,2.995,286.578,2.118,161,0.661
SaverLearning,2.999,291.594,1.931,161,0.664
SaverLearning,2.972,296.505,1.856,162,0.666
SaverLearning,3.090,301.660,1.976,161,0.667
SaverLearning,3.038,306.782,1.998,161,0.669
SaverLearning,3.033,311.538,1.650,161,0.671
SaverLearning,3.047,316.617,1.948,163,0.672
SaverLearning,3.052,321.713,1.961,162,0.672
SaverLearning,3.099,326.668,1.776,162,0.673
SaverLearning,3.067,331.785,1.963,162,0.674
SaverLearning,3.006,336.855,1.978,162,0.674
SaverLearning,3.011,341.691,1.745,161,0.676
SaverLearning,3.060,346.897,2.057,161,0.677
SaverLearning,3.113,351.851,1.766,163,0.679
SaverLearning,3.038,356.998,2.022,162,0.681
SaverLearning,3.072,362.309,2.145,161,0.683
SaverLearning,3.072,367.852,2.365,162,0.683
SaverLearning,2.930,372.991,2.113,161,0.684
SaverLearning,3.074,378.314,2.155,163,0.685
SaverLearning,3.084,383.819,2.319,161,0.686
