Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.897,16.480,13.876,10243,-0.165
SaverLearning,0.665,32.415,14.308,10241,-0.079
SaverLearning,0.728,50.607,16.330,10244,0.028
SaverLearning,0.674,71.890,19.307,10246,0.133
SaverLearning,0.692,98.194,23.976,10241,0.230
SaverLearning,0.683,126.035,25.453,10241,0.309
SaverLearning,0.680,153.248,24.848,10243,0.371
SaverLearning,0.698,179.182,23.631,10246,0.423
SaverLearning,0.694,203.485,22.107,10242,0.469
SaverLearning,0.697,226.304,20.712,10244,0.511
SaverLearning,0.732,245.393,17.181,10243,0.548
SaverLearning,0.727,262.482,15.292,10247,0.580
SaverLearning,0.679,278.727,14.539,10248,0.608
SaverLearning,0.692,294.902,14.488,10247,0.633
SaverLearning,0.687,311.121,14.533,10241,0.655
SaverLearning,0.683,326.980,14.200,10242,0.674
SaverLearning,0.691,342.616,13.999,10247,0.692
SaverLearning,0.683,358.419,14.148,10250,0.708
SaverLearning,0.690,374.343,14.251,10249,0.722
SaverLearning,0.675,390.209,14.197,10247,0.735
SaverLearning,0.672,406.274,14.396,10241,0.747
SaverLearning,0.749,422.616,14.571,10241,0.758
SaverLearning,0.687,438.939,14.624,10243,0.768
SaverLearning,0.684,454.795,14.203,10242,0.777
SaverLearning,0.681,470.840,14.364,10242,0.785
SaverLearning,0.682,487.571,15.068,10244,0.793
SaverLearning,0.680,503.910,14.659,10248,0.800
SaverLearning,0.687,519.872,14.283,10242,0.807
SaverLearning,0.689,536.056,14.478,10242,0.813
SaverLearning,0.680,552.472,14.724,10248,0.819
SaverLearning,0.674,568.784,14.654,10252,0.825
SaverLearning,0.680,584.995,14.520,10246,0.830
SaverLearning,0.686,601.143,14.473,10242,0.835
SaverLearning,0.682,617.374,14.429,10241,0.840
SaverLearning,0.692,633.490,14.409,10253,0.844
SaverLearning,0.696,649.881,14.667,10243,0.848
SaverLearning,0.695,666.636,15.059,10251,0.852
SaverLearning,0.692,683.605,15.246,10243,0.856
SaverLearning,0.685,700.336,15.022,10248,0.860
SaverLearning,0.678,716.857,14.844,10245,0.863
SaverLearning,0.690,733.460,14.902,10253,0.866
SaverLearning,0.695,750.661,15.467,10248,0.869
SaverLearning,0.684,767.810,15.453,10251,0.872
SaverLearning,0.688,784.530,15.022,10243,0.875
SaverLearning,0.675,801.110,14.910,10242,0.878
SaverLearning,0.686,817.814,15.010,10242,0.880
SaverLearning,0.687,834.767,15.246,10244,0.883
SaverLearning,0.687,851.529,15.054,10251,0.885
SaverLearning,0.688,868.102,14.884,10241,0.888
SaverLearning,0.693,884.776,14.978,10242,0.890
SaverLearning,0.688,901.588,15.104,10244,0.892
SaverLearning,0.687,918.559,15.289,10243,0.894
SaverLearning,0.720,935.395,15.120,10243,0.896
SaverLearning,0.685,952.189,15.111,10241,0.898
SaverLearning,0.689,969.143,15.286,10244,0.899
SaverLearning,0.682,986.401,15.568,10246,0.901
SaverLearning,0.687,1003.221,15.133,10252,0.903
SaverLearning,0.695,1020.030,15.101,10249,0.905
SaverLearning,0.723,1036.922,15.188,10243,0.906
SaverLearning,0.724,1054.044,15.389,10242,0.908
SaverLearning,0.696,1070.906,15.142,10242,0.909
SaverLearning,0.751,1087.894,15.246,10253,0.911
SaverLearning,0.703,1105.252,15.647,10250,0.912
SaverLearning,0.690,1122.416,15.439,10243,0.913
SaverLearning,0.702,1139.348,15.228,10252,0.915
SaverLearning,0.686,1156.000,14.991,10242,0.916
SaverLearning,0.681,1172.675,14.999,10246,0.917
SaverLearning,0.689,1189.879,15.504,10244,0.918
SaverLearning,0.686,1206.668,15.115,10245,0.919
SaverLearning,0.670,1223.646,15.301,10241,0.921
SaverLearning,0.694,1240.570,15.225,10256,0.922
SaverLearning,0.701,1257.784,15.391,10242,0.923
SaverLearning,0.684,1274.428,14.932,10246,0.924
SaverLearning,0.712,1291.651,15.474,10243,0.925
SaverLearning,0.692,1308.728,15.392,10243,0.926
SaverLearning,0.683,1326.309,15.868,10243,0.927
SaverLearning,0.687,1343.201,15.172,10251,0.928
SaverLearning,0.687,1360.285,15.401,10243,0.928
SaverLearning,0.687,1377.655,15.655,10248,0.929
SaverLearning,0.688,1394.684,15.329,10243,0.930
SaverLearning,0.694,1411.447,15.024,10242,0.931
SaverLearning,0.696,1428.413,15.253,10245,0.932
SaverLearning,0.707,1445.328,15.194,10250,0.933
SaverLearning,0.712,1462.774,15.697,10241,0.933
SaverLearning,0.693,1479.828,15.338,10245,0.934
SaverLearning,0.689,1497.052,15.508,10255,0.935
SaverLearning,0.688,1513.666,14.915,10247,0.936
SaverLearning,0.683,1530.851,15.530,10243,0.936
SaverLearning,0.702,1547.409,14.841,10251,0.937
SaverLearning,0.754,1564.634,15.427,10246,0.938
SaverLearning,0.685,1581.032,14.728,10246,0.938
SaverLearning,0.686,1597.905,15.185,10246,0.939
SaverLearning,0.704,1614.329,14.691,10241,0.940
SaverLearning,0.688,1630.994,14.976,10246,0.940
SaverLearning,0.676,1648.135,15.473,10258,0.941
SaverLearning,0.735,1664.921,15.032,10252,0.942
SaverLearning,0.681,1681.735,15.140,10250,0.942
SaverLearning,0.688,1698.375,14.951,10245,0.943
SaverLearning,0.677,1715.145,15.078,10241,0.943
SaverLearning,0.696,1732.009,15.131,10252,0.944
SaverLearning,0.679,1749.336,15.622,10246,0.944
SaverLearning,0.716,1766.452,15.378,10259,0.945
SaverLearning,0.689,1783.655,15.472,10243,0.946
SaverLearning,0.689,1800.262,14.923,10244,0.946
SaverLearning,0.688,1817.063,15.107,10247,0.947
SaverLearning,0.697,1833.687,14.921,10246,0.947
SaverLearning,0.696,1850.377,15.000,10242,0.948
SaverLearning,0.715,1867.200,15.075,10243,0.948
SaverLearning,0.679,1884.634,15.683,10248,0.948
SaverLearning,0.687,1901.583,15.149,10244,0.949
SaverLearning,0.692,1918.323,15.029,10249,0.949
SaverLearning,0.685,1934.983,14.939,10244,0.950
SaverLearning,0.674,1951.716,15.060,10249,0.950
SaverLearning,0.689,1968.998,15.582,10242,0.951
SaverLearning,0.738,1986.461,15.669,10243,0.951
SaverLearning,0.740,2003.228,14.996,10248,0.952
SaverLearning,0.697,2020.349,15.388,10245,0.952
SaverLearning,0.715,2037.883,15.785,10250,0.952
SaverLearning,0.706,2054.756,15.137,10241,0.953
SaverLearning,0.680,2071.898,15.421,10242,0.953
SaverLearning,0.686,2089.194,15.570,10244,0.953
SaverLearning,0.688,2106.168,15.217,10243,0.954
SaverLearning,0.685,2123.455,15.601,10247,0.954
SaverLearning,0.686,2140.573,15.409,10249,0.955
SaverLearning,0.683,2157.721,15.419,10242,0.955
SaverLearning,0.686,2174.819,15.407,10253,0.955
SaverLearning,0.692,2191.681,15.158,10241,0.956
SaverLearning,0.686,2208.935,15.517,10247,0.956
SaverLearning,0.693,2225.959,15.319,10244,0.956
SaverLearning,0.683,2242.825,15.174,10248,0.957
SaverLearning,0.694,2260.002,15.472,10241,0.957
SaverLearning,0.682,2277.418,15.667,10246,0.957
SaverLearning,0.675,2293.921,14.807,10241,0.958
SaverLearning,0.678,2310.368,14.741,10245,0.958
SaverLearning,0.701,2326.962,14.879,10248,0.958
SaverLearning,0.681,2344.589,15.912,10249,0.959
