Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.416,5.460,0.816,163,-0.289
SaverLearning,3.029,9.129,0.619,161,-0.211
SaverLearning,3.082,12.868,0.637,165,-0.223
SaverLearning,3.058,16.588,0.640,163,-0.231
SaverLearning,3.054,20.296,0.631,161,-0.218
SaverLearning,3.077,24.022,0.627,168,-0.187
SaverLearning,3.076,27.731,0.611,161,-0.130
SaverLearning,3.048,31.484,0.680,165,-0.087
SaverLearning,3.012,35.227,0.704,161,-0.026
SaverLearning,3.054,39.135,0.821,161,0.017
SaverLearning,3.056,43.055,0.830,163,0.059
SaverLearning,3.074,47.037,0.869,163,0.095
SaverLearning,3.051,51.021,0.897,162,0.129
SaverLearning,3.061,55.142,1.018,162,0.157
SaverLearning,3.127,59.253,0.946,162,0.188
SaverLearning,3.146,63.474,1.033,161,0.207
SaverLearning,3.083,67.634,1.033,161,0.229
SaverLearning,3.078,71.838,1.083,163,0.257
SaverLearning,3.024,76.230,1.312,162,0.271
SaverLearning,3.041,80.473,1.153,163,0.293
SaverLearning,3.028,85.058,1.490,162,0.310
SaverLearning,3.022,89.380,1.245,162,0.317
SaverLearning,2.984,93.672,1.252,161,0.329
SaverLearning,3.070,98.209,1.412,161,0.338
SaverLearning,3.123,102.621,1.242,161,0.348
SaverLearning,3.033,107.110,1.402,161,0.359
SaverLearning,3.075,111.357,1.129,161,0.371
SaverLearning,3.108,115.722,1.212,161,0.379
SaverLearning,3.087,120.139,1.279,161,0.386
SaverLearning,3.053,124.675,1.428,161,0.395
SaverLearning,3.113,129.051,1.213,161,0.401
SaverLearning,3.089,133.737,1.536,164,0.410
SaverLearning,3.036,138.357,1.524,161,0.413
SaverLearning,3.097,142.964,1.448,161,0.417
SaverLearning,3.110,147.465,1.335,161,0.422
SaverLearning,3.063,151.988,1.400,163,0.429
SaverLearning,3.079,156.751,1.616,161,0.434
SaverLearning,3.116,161.461,1.536,161,0.440
SaverLearning,3.023,165.970,1.432,161,0.443
SaverLearning,3.089,170.712,1.592,164,0.447
SaverLearning,3.062,175.405,1.567,161,0.450
SaverLearning,3.049,180.220,1.695,161,0.456
SaverLearning,3.029,184.946,1.631,163,0.458
SaverLearning,3.075,189.659,1.576,161,0.461
SaverLearning,2.998,194.377,1.651,165,0.462
SaverLearning,3.079,199.136,1.615,163,0.463
SaverLearning,3.073,203.783,1.514,161,0.468
SaverLearning,3.085,208.531,1.594,161,0.471
SaverLearning,3.096,213.492,1.787,161,0.474
SaverLearning,3.059,218.213,1.599,161,0.474
SaverLearning,3.026,222.931,1.628,161,0.477
SaverLearning,3.035,227.441,1.419,161,0.480
SaverLearning,3.035,232.182,1.640,161,0.482
SaverLearning,3.110,237.011,1.654,161,0.486
SaverLearning,3.099,241.890,1.714,164,0.488
SaverLearning,3.083,246.751,1.706,161,0.490
SaverLearning,3.076,251.763,1.856,163,0.492
SaverLearning,3.126,257.144,2.164,161,0.495
SaverLearning,3.104,262.455,2.119,161,0.498
SaverLearning,3.006,267.417,1.881,161,0.499
SaverLearning,3.031,272.613,2.084,162,0.501
SaverLearning,3.084,277.440,1.678,162,0.503
SaverLearning,3.020,282.323,1.788,161,0.505
SaverLearning,3.087,287.277,1.795,163,0.506
SaverLearning,3.026,292.621,2.227,161,0.509
SaverLearning,3.072,297.673,1.904,164,0.511
SaverLearning,3.082,302.799,1.962,161,0.513
SaverLearning,3.020,307.636,1.744,162,0.516
SaverLearning,2.942,312.636,1.976,161,0.517
SaverLearning,2.995,317.302,1.608,162,0.518
SaverLearning,3.011,322.356,1.961,163,0.518
SaverLearning,3.052,327.405,1.919,162,0.518
SaverLearning,3.059,332.485,1.941,162,0.519
SaverLearning,3.052,337.168,1.570,161,0.520
SaverLearning,3.033,342.332,2.049,162,0.519
SaverLearning,3.076,347.335,1.849,161,0.521
SaverLearning,3.087,352.348,1.852,162,0.521
SaverLearning,3.053,357.369,1.889,161,0.523
SaverLearning,3.071,362.558,2.038,162,0.525
SaverLearning,3.075,367.669,1.961,161,0.526
SaverLearning,3.050,372.742,1.945,164,0.527
SaverLearning,3.086,377.779,1.879,161,0.529
SaverLearning,3.199,382.758,1.710,161,0.532
SaverLearning,3.021,387.806,1.948,163,0.533
SaverLearning,2.988,393.158,2.261,161,0.533
SaverLearning,3.052,398.236,1.942,163,0.535
SaverLearning,3.048,403.267,1.902,162,0.537
