Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.976,19.200,16.425,10247,-0.222
SaverLearning,0.727,37.637,16.783,10254,-0.182
SaverLearning,0.695,56.901,17.578,10243,-0.104
SaverLearning,0.701,77.230,18.589,10247,-0.017
SaverLearning,0.705,99.434,20.355,10243,0.065
SaverLearning,0.700,122.847,21.497,10243,0.135
SaverLearning,0.712,146.645,21.819,10243,0.191
SaverLearning,0.724,170.185,21.595,10248,0.238
SaverLearning,0.697,193.620,21.508,10243,0.277
SaverLearning,0.725,217.604,21.976,10241,0.315
SaverLearning,0.698,240.480,20.993,10251,0.349
SaverLearning,0.733,261.590,19.275,10245,0.382
SaverLearning,0.707,281.420,18.070,10245,0.411
SaverLearning,0.704,299.041,15.966,10259,0.438
SaverLearning,0.701,315.439,14.819,10242,0.462
SaverLearning,0.704,331.317,14.347,10251,0.485
SaverLearning,0.703,347.296,14.424,10250,0.506
SaverLearning,0.723,362.307,13.481,10248,0.526
SaverLearning,0.740,377.222,13.393,10247,0.545
SaverLearning,0.683,391.634,12.976,10242,0.562
SaverLearning,0.691,406.025,12.935,10247,0.578
SaverLearning,0.717,420.124,12.646,10248,0.593
SaverLearning,0.708,434.158,12.596,10248,0.607
SaverLearning,0.752,448.332,12.683,10248,0.620
SaverLearning,0.690,462.599,12.830,10242,0.632
SaverLearning,0.701,476.786,12.753,10243,0.644
SaverLearning,0.715,490.742,12.509,10245,0.655
SaverLearning,0.715,504.710,12.522,10242,0.665
SaverLearning,0.699,518.241,12.121,10245,0.675
SaverLearning,0.691,531.925,12.262,10245,0.684
SaverLearning,0.724,545.698,12.329,10250,0.693
SaverLearning,0.697,559.371,12.268,10242,0.701
SaverLearning,0.694,572.886,12.101,10248,0.709
SaverLearning,0.700,586.544,12.239,10245,0.716
SaverLearning,0.726,600.095,12.118,10248,0.723
SaverLearning,0.704,613.654,12.143,10248,0.730
SaverLearning,0.693,627.161,12.099,10253,0.736
SaverLearning,0.701,640.815,12.237,10246,0.743
SaverLearning,0.693,654.388,12.181,10254,0.748
SaverLearning,0.716,667.903,12.087,10247,0.754
SaverLearning,0.720,681.478,12.141,10246,0.759
SaverLearning,0.702,694.830,11.948,10250,0.764
SaverLearning,0.695,707.895,11.680,10250,0.769
SaverLearning,0.703,721.192,11.895,10245,0.774
SaverLearning,0.693,734.987,12.268,10246,0.778
SaverLearning,0.739,748.647,12.199,10253,0.783
SaverLearning,0.710,762.519,12.440,10244,0.787
SaverLearning,0.700,776.146,12.202,10245,0.791
SaverLearning,0.721,789.961,12.352,10255,0.795
SaverLearning,0.703,803.961,12.561,10245,0.799
SaverLearning,0.714,817.327,11.941,10248,0.802
SaverLearning,0.695,830.834,12.096,10246,0.806
SaverLearning,0.732,844.377,12.083,10247,0.809
SaverLearning,0.693,857.389,11.622,10243,0.812
SaverLearning,0.721,870.541,11.721,10247,0.815
SaverLearning,0.752,883.799,11.811,10246,0.818
SaverLearning,0.706,897.104,11.884,10244,0.821
SaverLearning,0.688,910.429,11.931,10256,0.824
SaverLearning,0.703,923.789,11.947,10245,0.827
SaverLearning,0.714,937.599,12.361,10249,0.829
SaverLearning,0.703,951.294,12.248,10244,0.832
SaverLearning,0.742,965.029,12.262,10251,0.834
SaverLearning,0.723,978.615,12.134,10245,0.837
SaverLearning,0.706,991.856,11.832,10241,0.839
SaverLearning,0.701,1004.955,11.705,10246,0.841
SaverLearning,0.688,1018.142,11.792,10247,0.844
SaverLearning,0.710,1031.235,11.694,10254,0.846
SaverLearning,0.716,1044.365,11.734,10249,0.848
SaverLearning,0.708,1057.621,11.845,10246,0.850
SaverLearning,0.707,1071.220,12.156,10244,0.852
SaverLearning,0.695,1084.594,11.958,10241,0.854
SaverLearning,0.701,1098.217,12.206,10253,0.856
SaverLearning,0.696,1111.781,12.153,10247,0.858
SaverLearning,0.709,1125.353,12.141,10249,0.860
SaverLearning,0.707,1138.255,11.502,10242,0.861
SaverLearning,0.708,1151.354,11.679,10245,0.863
SaverLearning,0.735,1164.543,11.757,10251,0.865
SaverLearning,0.711,1178.006,12.054,10247,0.866
SaverLearning,0.696,1190.732,11.351,10247,0.868
SaverLearning,0.733,1203.588,11.441,10248,0.869
SaverLearning,0.752,1216.897,11.849,10259,0.871
SaverLearning,0.732,1230.497,12.152,10246,0.872
SaverLearning,0.724,1243.883,11.936,10245,0.874
SaverLearning,0.706,1257.223,11.906,10241,0.875
SaverLearning,0.683,1270.828,12.187,10247,0.877
SaverLearning,0.693,1284.276,12.043,10247,0.878
SaverLearning,0.701,1297.761,12.072,10248,0.879
SaverLearning,0.708,1311.335,12.148,10246,0.880
SaverLearning,0.710,1324.830,12.086,10250,0.882
SaverLearning,0.687,1338.356,12.149,10252,0.883
SaverLearning,0.692,1352.072,12.307,10241,0.884
SaverLearning,0.706,1365.832,12.323,10247,0.885
SaverLearning,0.726,1379.742,12.451,10247,0.887
SaverLearning,0.698,1393.433,12.257,10247,0.888
SaverLearning,0.685,1407.228,12.379,10242,0.889
SaverLearning,0.706,1420.637,11.982,10255,0.890
SaverLearning,0.710,1434.445,12.374,10248,0.891
SaverLearning,0.748,1448.121,12.234,10249,0.892
SaverLearning,0.701,1461.880,12.342,10257,0.893
SaverLearning,0.697,1475.711,12.310,10248,0.894
SaverLearning,0.694,1489.421,12.288,10248,0.895
SaverLearning,0.709,1503.596,12.731,10245,0.896
SaverLearning,0.707,1517.512,12.478,10247,0.897
SaverLearning,0.714,1531.050,12.125,10255,0.898
SaverLearning,0.705,1544.273,11.804,10246,0.899
SaverLearning,0.736,1557.659,11.944,10261,0.900
SaverLearning,0.694,1570.942,11.907,10254,0.901
SaverLearning,0.694,1584.122,11.804,10253,0.902
SaverLearning,0.719,1597.283,11.756,10249,0.902
SaverLearning,0.729,1610.605,11.880,10242,0.903
SaverLearning,0.704,1624.056,12.050,10241,0.904
SaverLearning,0.693,1637.623,12.165,10241,0.905
SaverLearning,0.723,1651.180,12.122,10242,0.906
