Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.870,62.766,54.796,10244,-0.759
SingleSwingLearning,0.604,126.321,56.573,10242,-0.764
SingleSwingLearning,0.598,190.001,56.724,10243,-0.768
SingleSwingLearning,0.623,251.325,54.399,10241,-0.770
SingleSwingLearning,0.595,309.289,51.308,10241,-0.771
SingleSwingLearning,0.598,364.464,48.687,10243,-0.767
SingleSwingLearning,0.597,417.487,46.852,10243,-0.764
SingleSwingLearning,0.591,458.580,35.920,10241,-0.763
SingleSwingLearning,0.594,501.567,38.198,10242,-0.762
SingleSwingLearning,0.579,537.670,31.863,10243,-0.760
SingleSwingLearning,0.586,571.045,29.379,10249,-0.759
SingleSwingLearning,0.584,600.218,25.547,10256,-0.757
SingleSwingLearning,0.582,623.547,20.236,10245,-0.755
SingleSwingLearning,0.575,641.881,15.795,10257,-0.755
SingleSwingLearning,0.568,661.302,16.678,10247,-0.755
SingleSwingLearning,0.587,682.116,18.000,10245,-0.753
SingleSwingLearning,0.585,700.838,16.104,10285,-0.752
SingleSwingLearning,0.575,716.228,13.176,10241,-0.752
SingleSwingLearning,0.584,730.402,12.144,10272,-0.753
SingleSwingLearning,0.584,744.975,12.470,10275,-0.752
SingleSwingLearning,0.570,760.952,13.717,10270,-0.750
SingleSwingLearning,0.572,775.359,12.321,10282,-0.749
SingleSwingLearning,0.589,787.750,10.519,10255,-0.748
SingleSwingLearning,0.588,796.539,7.357,10257,-0.749
SingleSwingLearning,0.577,804.310,6.492,10281,-0.749
SingleSwingLearning,0.583,811.297,5.781,10247,-0.749
SingleSwingLearning,0.576,817.633,5.221,10274,-0.749
SingleSwingLearning,0.573,823.773,5.047,10244,-0.749
SingleSwingLearning,0.583,830.062,5.178,10303,-0.749
SingleSwingLearning,0.580,835.931,4.786,10352,-0.749
SingleSwingLearning,0.578,841.841,4.849,10244,-0.749
SingleSwingLearning,0.577,847.252,4.383,10247,-0.749
SingleSwingLearning,0.584,852.881,4.574,10287,-0.748
SingleSwingLearning,0.579,858.159,4.269,10303,-0.748
SingleSwingLearning,0.585,863.519,4.358,10248,-0.748
SingleSwingLearning,0.591,868.651,4.130,10289,-0.748
SingleSwingLearning,0.587,873.651,4.013,10281,-0.748
SingleSwingLearning,0.588,878.929,4.272,10299,-0.748
SingleSwingLearning,0.586,883.731,3.841,10273,-0.747
SingleSwingLearning,0.586,888.798,4.083,10276,-0.747
SingleSwingLearning,0.590,893.811,4.045,10282,-0.747
SingleSwingLearning,0.578,898.563,3.800,10353,-0.747
SingleSwingLearning,0.576,903.345,3.842,10285,-0.747
SingleSwingLearning,0.578,908.139,3.860,10246,-0.747
SingleSwingLearning,0.580,912.795,3.732,10248,-0.747
SingleSwingLearning,0.586,917.530,3.808,10290,-0.747
SingleSwingLearning,0.582,922.159,3.702,10250,-0.747
SingleSwingLearning,0.565,926.638,3.577,10243,-0.747
SingleSwingLearning,0.578,931.102,3.569,10303,-0.747
SingleSwingLearning,0.575,935.596,3.584,10258,-0.747
SingleSwingLearning,0.580,940.011,3.521,10276,-0.746
SingleSwingLearning,0.589,944.626,3.695,10286,-0.746
SingleSwingLearning,0.584,949.156,3.623,10264,-0.746
SingleSwingLearning,0.572,953.729,3.678,10242,-0.746
SingleSwingLearning,0.576,958.074,3.458,10260,-0.746
SingleSwingLearning,0.580,962.582,3.604,10273,-0.746
SingleSwingLearning,0.579,967.132,3.655,10255,-0.746
SingleSwingLearning,0.578,971.680,3.646,10281,-0.746
SingleSwingLearning,0.571,976.041,3.478,10299,-0.745
SingleSwingLearning,0.578,980.433,3.497,10282,-0.745
SingleSwingLearning,0.592,984.833,3.501,10267,-0.745
SingleSwingLearning,0.577,989.287,3.558,10254,-0.745
SingleSwingLearning,0.581,993.732,3.558,10299,-0.745
SingleSwingLearning,0.584,998.099,3.481,10259,-0.745
SingleSwingLearning,0.578,1002.410,3.426,10257,-0.745
SingleSwingLearning,0.580,1006.790,3.498,10261,-0.745
SingleSwingLearning,0.571,1010.974,3.317,10241,-0.745
SingleSwingLearning,0.582,1015.410,3.558,10293,-0.744
SingleSwingLearning,0.586,1019.720,3.416,10255,-0.744
SingleSwingLearning,0.579,1024.155,3.547,10293,-0.744
SingleSwingLearning,0.584,1028.466,3.412,10301,-0.744
SingleSwingLearning,0.581,1032.848,3.506,10295,-0.744
SingleSwingLearning,0.578,1037.191,3.460,10301,-0.744
SingleSwingLearning,0.593,1041.527,3.440,10289,-0.744
SingleSwingLearning,0.587,1045.878,3.459,10285,-0.744
SingleSwingLearning,0.583,1050.509,3.629,10289,-0.744
SingleSwingLearning,0.573,1054.826,3.455,10258,-0.743
SingleSwingLearning,0.573,1059.178,3.473,10271,-0.743
SingleSwingLearning,0.579,1063.517,3.455,10288,-0.743
SingleSwingLearning,0.589,1067.861,3.448,10257,-0.743
SingleSwingLearning,0.585,1072.236,3.487,10271,-0.743
SingleSwingLearning,0.583,1076.505,3.387,10258,-0.743
SingleSwingLearning,0.583,1080.921,3.535,10303,-0.743
SingleSwingLearning,0.581,1085.233,3.423,10295,-0.743
SingleSwingLearning,0.578,1089.545,3.431,10290,-0.743
SingleSwingLearning,0.611,1093.932,3.465,10292,-0.742
SingleSwingLearning,0.577,1098.231,3.433,10359,-0.742
SingleSwingLearning,0.568,1102.560,3.470,10261,-0.742
SingleSwingLearning,0.578,1106.828,3.396,10269,-0.742
SingleSwingLearning,0.581,1111.193,3.482,10268,-0.742
SingleSwingLearning,0.589,1115.447,3.363,10283,-0.742
SingleSwingLearning,0.588,1119.739,3.401,10323,-0.742
SingleSwingLearning,0.590,1123.975,3.344,10282,-0.742
SingleSwingLearning,0.584,1128.369,3.506,10280,-0.741
SingleSwingLearning,0.580,1132.696,3.440,10263,-0.741
SingleSwingLearning,0.592,1137.027,3.429,10274,-0.741
SingleSwingLearning,0.576,1141.266,3.365,10286,-0.741
SingleSwingLearning,0.579,1145.501,3.350,10288,-0.741
SingleSwingLearning,0.589,1149.872,3.480,10285,-0.741
SingleSwingLearning,0.574,1154.241,3.489,10241,-0.741
SingleSwingLearning,0.586,1158.668,3.534,10327,-0.741
SingleSwingLearning,0.589,1162.971,3.408,10272,-0.740
SingleSwingLearning,0.587,1167.417,3.551,10242,-0.740
SingleSwingLearning,0.583,1171.728,3.424,10295,-0.740
SingleSwingLearning,0.584,1176.147,3.531,10293,-0.740
SingleSwingLearning,0.588,1180.458,3.424,10300,-0.740
SingleSwingLearning,0.584,1184.727,3.379,10294,-0.740
SingleSwingLearning,0.579,1189.035,3.430,10248,-0.740
SingleSwingLearning,0.587,1193.490,3.553,10280,-0.740
SingleSwingLearning,0.579,1197.820,3.438,10261,-0.740
SingleSwingLearning,0.572,1202.219,3.520,10246,-0.739
SingleSwingLearning,0.583,1206.596,3.490,10296,-0.739
SingleSwingLearning,0.607,1211.024,3.518,10338,-0.739
SingleSwingLearning,0.580,1215.578,3.665,10284,-0.739
SingleSwingLearning,0.602,1219.952,3.454,10302,-0.739
SingleSwingLearning,0.587,1224.305,3.460,10259,-0.739
SingleSwingLearning,0.577,1228.592,3.411,10250,-0.739
SingleSwingLearning,0.586,1233.132,3.642,10266,-0.739
SingleSwingLearning,0.582,1237.424,3.400,10284,-0.738
SingleSwingLearning,0.577,1241.829,3.507,10302,-0.738
SingleSwingLearning,0.585,1246.166,3.443,10242,-0.738
SingleSwingLearning,0.578,1250.502,3.445,10275,-0.738
SingleSwingLearning,0.586,1254.866,3.466,10263,-0.738
SingleSwingLearning,0.587,1259.293,3.523,10336,-0.738
SingleSwingLearning,0.579,1263.630,3.453,10283,-0.738
SingleSwingLearning,0.576,1268.031,3.521,10278,-0.738
SingleSwingLearning,0.579,1272.377,3.455,10275,-0.738
SingleSwingLearning,0.608,1276.790,3.498,10278,-0.737
SingleSwingLearning,0.576,1281.158,3.489,10280,-0.737
SingleSwingLearning,0.578,1285.447,3.412,10351,-0.737
SingleSwingLearning,0.590,1289.852,3.502,10294,-0.737
SingleSwingLearning,0.583,1294.331,3.587,10303,-0.737
SingleSwingLearning,0.584,1298.678,3.448,10277,-0.737
SingleSwingLearning,0.593,1303.069,3.487,10364,-0.737
SingleSwingLearning,0.578,1307.500,3.537,10247,-0.737
SingleSwingLearning,0.577,1311.837,3.451,10254,-0.736
SingleSwingLearning,0.582,1316.071,3.343,10293,-0.736
SingleSwingLearning,0.585,1320.424,3.462,10259,-0.736
SingleSwingLearning,0.580,1324.770,3.462,10269,-0.736
SingleSwingLearning,0.578,1329.111,3.465,10257,-0.736
SingleSwingLearning,0.581,1333.408,3.418,10385,-0.736
SingleSwingLearning,0.581,1337.872,3.572,10249,-0.736
SingleSwingLearning,0.576,1342.215,3.460,10284,-0.736
SingleSwingLearning,0.576,1346.543,3.441,10287,-0.735
SingleSwingLearning,0.582,1350.763,3.343,10274,-0.735
SingleSwingLearning,0.581,1355.068,3.414,10274,-0.735
SingleSwingLearning,0.576,1359.321,3.373,10260,-0.735
SingleSwingLearning,0.587,1363.522,3.311,10356,-0.735
SingleSwingLearning,0.578,1367.797,3.394,10325,-0.735
SingleSwingLearning,0.577,1372.136,3.461,10264,-0.735
SingleSwingLearning,0.582,1376.392,3.368,10258,-0.735
SingleSwingLearning,0.617,1380.698,3.384,10258,-0.735
SingleSwingLearning,0.589,1385.088,3.494,10305,-0.734
SingleSwingLearning,0.579,1389.312,3.345,10256,-0.734
SingleSwingLearning,0.586,1393.530,3.328,10275,-0.734
SingleSwingLearning,0.577,1397.739,3.330,10258,-0.734
SingleSwingLearning,0.590,1402.038,3.407,10276,-0.734
SingleSwingLearning,0.578,1406.417,3.495,10300,-0.734
SingleSwingLearning,0.585,1410.826,3.519,10303,-0.734
SingleSwingLearning,0.584,1415.167,3.463,10289,-0.734
SingleSwingLearning,0.578,1419.399,3.361,10275,-0.734
SingleSwingLearning,0.585,1423.752,3.462,10300,-0.733
SingleSwingLearning,0.582,1428.162,3.528,10296,-0.733
SingleSwingLearning,0.584,1432.450,3.399,10260,-0.733
SingleSwingLearning,0.587,1436.778,3.429,10300,-0.733
SingleSwingLearning,0.589,1441.011,3.339,10245,-0.733
SingleSwingLearning,0.576,1445.391,3.489,10250,-0.733
SingleSwingLearning,0.580,1449.730,3.444,10295,-0.733
SingleSwingLearning,0.580,1454.254,3.614,10290,-0.733
SingleSwingLearning,0.579,1458.727,3.579,10245,-0.732
SingleSwingLearning,0.585,1463.194,3.558,10300,-0.732
SingleSwingLearning,0.586,1467.656,3.555,10285,-0.732
SingleSwingLearning,0.581,1472.091,3.534,10260,-0.732
SingleSwingLearning,0.575,1476.455,3.470,10260,-0.732
SingleSwingLearning,0.590,1480.889,3.515,10285,-0.732
SingleSwingLearning,0.576,1485.217,3.433,10260,-0.732
SingleSwingLearning,0.579,1489.684,3.566,10285,-0.732
SingleSwingLearning,0.591,1494.058,3.469,10300,-0.732
SingleSwingLearning,0.579,1498.338,3.395,10270,-0.731
SingleSwingLearning,0.583,1502.695,3.469,10300,-0.731
SingleSwingLearning,0.581,1507.023,3.438,10245,-0.731
SingleSwingLearning,0.589,1511.433,3.502,10275,-0.731
SingleSwingLearning,0.577,1515.949,3.625,10270,-0.731
SingleSwingLearning,0.578,1520.381,3.539,10290,-0.731
SingleSwingLearning,0.581,1524.826,3.414,10245,-0.731
SingleSwingLearning,0.581,1529.378,3.659,10300,-0.731
SingleSwingLearning,0.579,1534.043,3.757,10285,-0.730
SingleSwingLearning,0.587,1538.471,3.523,10260,-0.730
SingleSwingLearning,0.580,1542.878,3.511,10245,-0.730
SingleSwingLearning,0.583,1547.342,3.569,10300,-0.730
SingleSwingLearning,0.581,1551.628,3.390,10285,-0.730
SingleSwingLearning,0.589,1556.045,3.520,10260,-0.730
SingleSwingLearning,0.585,1560.583,3.629,10300,-0.730
SingleSwingLearning,0.580,1565.042,3.573,10270,-0.730
SingleSwingLearning,0.587,1569.541,3.596,10300,-0.729
SingleSwingLearning,0.575,1573.873,3.454,10245,-0.729
SingleSwingLearning,0.582,1578.256,3.483,10275,-0.729
SingleSwingLearning,0.572,1582.517,3.385,10270,-0.729
SingleSwingLearning,0.575,1586.806,3.408,10290,-0.729
SingleSwingLearning,0.578,1591.177,3.488,10310,-0.729
SingleSwingLearning,0.583,1595.624,3.549,10300,-0.729
SingleSwingLearning,0.579,1600.008,3.499,10285,-0.729
SingleSwingLearning,0.583,1604.551,3.646,10260,-0.729
SingleSwingLearning,0.584,1608.942,3.491,10310,-0.728
SingleSwingLearning,0.585,1613.437,3.584,10300,-0.728
SingleSwingLearning,0.575,1617.718,3.406,10285,-0.728
SingleSwingLearning,0.571,1622.198,3.593,10285,-0.728
SingleSwingLearning,0.573,1626.478,3.404,10275,-0.728
SingleSwingLearning,0.582,1630.951,3.582,10270,-0.728
SingleSwingLearning,0.580,1635.176,3.347,10300,-0.728
SingleSwingLearning,0.579,1639.547,3.493,10245,-0.728
SingleSwingLearning,0.578,1644.016,3.587,10275,-0.727
SingleSwingLearning,0.582,1648.335,3.442,10270,-0.727
SingleSwingLearning,0.587,1652.907,3.679,10315,-0.727
SingleSwingLearning,0.587,1657.229,3.438,10245,-0.727
SingleSwingLearning,0.583,1661.659,3.526,10300,-0.727
SingleSwingLearning,0.583,1665.990,3.432,10285,-0.727
SingleSwingLearning,0.617,1670.514,3.589,10300,-0.727
SingleSwingLearning,0.581,1674.871,3.466,10245,-0.727
SingleSwingLearning,0.588,1679.370,3.596,10300,-0.727
SingleSwingLearning,0.572,1683.652,3.399,10285,-0.726
SingleSwingLearning,0.579,1688.126,3.580,10285,-0.726
SingleSwingLearning,0.574,1692.382,3.372,10275,-0.726
SingleSwingLearning,0.584,1696.724,3.447,10270,-0.726
SingleSwingLearning,0.582,1701.217,3.602,10300,-0.726
SingleSwingLearning,0.588,1705.695,3.574,10270,-0.726
SingleSwingLearning,0.583,1710.208,3.623,10250,-0.726
SingleSwingLearning,0.582,1714.597,3.507,10270,-0.726
SingleSwingLearning,0.578,1719.106,3.627,10250,-0.725
SingleSwingLearning,0.581,1723.390,3.405,10245,-0.725
SingleSwingLearning,0.585,1727.836,3.539,10300,-0.725
SingleSwingLearning,0.585,1732.247,3.507,10285,-0.725
SingleSwingLearning,0.591,1736.657,3.506,10300,-0.725
SingleSwingLearning,0.597,1741.096,3.534,10245,-0.725
SingleSwingLearning,0.586,1745.580,3.571,10300,-0.725
SingleSwingLearning,0.577,1750.130,3.655,10415,-0.725
SingleSwingLearning,0.581,1754.613,3.582,10285,-0.725
SingleSwingLearning,0.584,1759.182,3.670,10303,-0.724
