Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.878,696.190,680.674,10241,-0.115
SingleSwingLearning,0.656,1392.196,681.020,10241,-0.113
SingleSwingLearning,0.633,2054.798,648.380,10241,-0.112
SingleSwingLearning,0.646,2683.574,614.939,10242,-0.111
SingleSwingLearning,0.642,3302.935,605.580,10242,-0.112
SingleSwingLearning,0.673,3915.250,596.574,10246,-0.111
SingleSwingLearning,0.631,4530.730,600.174,10242,-0.111
SingleSwingLearning,0.624,5064.119,517.722,10243,-0.111
SingleSwingLearning,0.624,5502.947,427.382,10242,-0.111
SingleSwingLearning,0.635,5856.089,342.387,10250,-0.112
SingleSwingLearning,0.620,6173.886,305.645,10242,-0.112
SingleSwingLearning,0.623,6446.214,262.490,10243,-0.111
SingleSwingLearning,0.626,6663.587,208.256,10246,-0.110
SingleSwingLearning,0.632,6859.012,186.535,10249,-0.109
SingleSwingLearning,0.627,7022.722,155.037,10250,-0.107
SingleSwingLearning,0.616,7171.041,139.919,10246,-0.106
SingleSwingLearning,0.625,7309.359,129.396,10248,-0.105
SingleSwingLearning,0.627,7456.507,138.649,10282,-0.103
SingleSwingLearning,0.653,7584.476,118.370,10249,-0.102
SingleSwingLearning,0.600,7710.461,115.729,10243,-0.100
SingleSwingLearning,0.610,7832.717,112.803,10249,-0.099
SingleSwingLearning,0.606,7949.565,106.313,10257,-0.097
SingleSwingLearning,0.630,8066.425,107.956,10266,-0.096
SingleSwingLearning,0.622,8167.914,92.205,10246,-0.095
SingleSwingLearning,0.652,8268.049,90.571,10241,-0.093
SingleSwingLearning,0.653,8365.245,88.114,10249,-0.092
SingleSwingLearning,0.656,8459.341,84.332,10251,-0.090
SingleSwingLearning,0.651,8549.457,80.386,10241,-0.089
SingleSwingLearning,0.634,8635.549,76.233,10241,-0.088
SingleSwingLearning,0.630,8718.525,73.442,10243,-0.087
SingleSwingLearning,0.640,8804.080,75.855,10252,-0.086
SingleSwingLearning,0.616,8892.469,78.439,10270,-0.086
SingleSwingLearning,0.609,8989.339,88.114,10252,-0.085
SingleSwingLearning,0.636,9090.330,92.680,10248,-0.085
SingleSwingLearning,0.609,9186.312,88.046,10289,-0.084
SingleSwingLearning,0.650,9286.685,91.383,10255,-0.084
SingleSwingLearning,0.609,9384.991,88.898,10251,-0.083
SingleSwingLearning,0.618,9485.469,92.298,10260,-0.082
SingleSwingLearning,0.611,9584.087,90.722,10282,-0.082
SingleSwingLearning,0.612,9677.972,86.071,10255,-0.081
SingleSwingLearning,0.607,9780.559,94.649,10247,-0.080
SingleSwingLearning,0.618,9876.570,88.103,10243,-0.079
SingleSwingLearning,0.618,9973.524,89.081,10281,-0.079
SingleSwingLearning,0.627,10068.552,87.178,10302,-0.078
SingleSwingLearning,0.628,10162.281,85.891,10266,-0.077
SingleSwingLearning,0.620,10255.582,85.529,10255,-0.076
SingleSwingLearning,0.634,10350.134,86.594,10288,-0.076
SingleSwingLearning,0.650,10449.623,91.082,10270,-0.075
SingleSwingLearning,0.651,10554.689,95.859,10281,-0.074
SingleSwingLearning,0.599,10656.012,92.039,10248,-0.074
SingleSwingLearning,0.618,10758.605,94.152,10243,-0.073
SingleSwingLearning,0.618,10867.488,100.718,10269,-0.072
SingleSwingLearning,0.616,10971.520,96.102,10245,-0.071
SingleSwingLearning,0.598,11071.928,92.133,10280,-0.070
SingleSwingLearning,0.636,11179.421,98.646,10241,-0.069
