Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.874,703.491,687.773,10245,0.101
SingleSwingLearning,0.634,1426.254,708.336,10241,0.104
SingleSwingLearning,0.625,2156.999,715.624,10241,0.103
SingleSwingLearning,0.618,2921.127,746.998,10243,0.104
SingleSwingLearning,0.669,3710.417,772.276,10241,0.105
SingleSwingLearning,0.643,4512.521,785.271,10242,0.104
SingleSwingLearning,0.645,5303.265,774.863,10241,0.104
SingleSwingLearning,0.636,6132.992,809.379,10246,0.104
SingleSwingLearning,0.638,6929.227,780.312,10245,0.104
SingleSwingLearning,0.631,7779.047,832.678,10241,0.104
SingleSwingLearning,0.641,8566.545,772.255,10241,0.104
SingleSwingLearning,0.630,9349.639,766.507,10241,0.104
SingleSwingLearning,0.666,10115.970,750.394,10242,0.104
SingleSwingLearning,0.642,10906.507,773.022,10241,0.104
SingleSwingLearning,0.653,11647.515,725.150,10245,0.104
SingleSwingLearning,0.635,12456.702,792.178,10250,0.105
SingleSwingLearning,0.632,13235.346,763.424,10241,0.105
SingleSwingLearning,0.671,14106.456,852.525,10241,0.105
SingleSwingLearning,0.644,14975.088,850.111,10241,0.105
SingleSwingLearning,0.613,15834.341,841.746,10242,0.105
SingleSwingLearning,0.686,16712.299,858.793,10243,0.105
SingleSwingLearning,0.643,17533.247,804.178,10241,0.104
SingleSwingLearning,0.630,18214.886,664.993,10242,0.104
SingleSwingLearning,0.629,18862.948,631.122,10244,0.103
SingleSwingLearning,0.608,19463.396,584.177,10244,0.103
SingleSwingLearning,0.626,20123.189,642.797,10243,0.102
SingleSwingLearning,0.636,20822.517,682.411,10241,0.101
SingleSwingLearning,0.630,21507.428,665.909,10241,0.101
SingleSwingLearning,0.619,22195.308,670.207,10241,0.100
SingleSwingLearning,0.622,22841.652,630.767,10243,0.100
SingleSwingLearning,0.661,23468.879,610.898,10241,0.099
SingleSwingLearning,0.636,24130.083,645.459,10242,0.099
SingleSwingLearning,0.719,24753.286,607.929,10241,0.098
SingleSwingLearning,0.639,25433.853,659.589,10241,0.098
SingleSwingLearning,0.671,26013.362,561.780,10242,0.098
SingleSwingLearning,0.631,26549.482,518.114,10241,0.098
SingleSwingLearning,0.615,26959.783,398.027,10257,0.097
SingleSwingLearning,0.670,27383.094,407.312,10243,0.097
SingleSwingLearning,0.625,27723.058,325.200,10279,0.097
SingleSwingLearning,0.629,28023.529,288.453,10244,0.097
SingleSwingLearning,0.620,28277.067,243.577,10252,0.097
SingleSwingLearning,0.616,28493.487,206.599,10242,0.097
SingleSwingLearning,0.632,28712.115,208.086,10259,0.097
SingleSwingLearning,0.655,28896.643,173.442,10244,0.097
SingleSwingLearning,0.655,29055.989,150.347,10268,0.098
SingleSwingLearning,0.626,29193.232,128.914,10242,0.098
SingleSwingLearning,0.627,29309.567,108.096,10269,0.098
SingleSwingLearning,0.613,29416.419,98.909,10241,0.098
SingleSwingLearning,0.639,29516.546,92.124,10266,0.099
SingleSwingLearning,0.621,29626.987,102.018,10261,0.099
SingleSwingLearning,0.636,29723.964,88.434,10243,0.099
SingleSwingLearning,0.645,29829.208,95.839,10241,0.100
SingleSwingLearning,0.619,29935.091,96.278,10241,0.100
SingleSwingLearning,0.657,30030.401,85.583,10253,0.101
SingleSwingLearning,0.645,30125.774,85.579,10264,0.101
SingleSwingLearning,0.631,30215.878,82.171,10265,0.102
SingleSwingLearning,0.618,30303.192,79.573,10264,0.102
SingleSwingLearning,0.628,30381.336,70.516,10265,0.102
SingleSwingLearning,0.659,30466.851,77.007,10282,0.103
SingleSwingLearning,0.665,30548.685,72.995,10265,0.103
SingleSwingLearning,0.638,30623.444,66.365,10252,0.104
SingleSwingLearning,0.626,30696.146,64.222,10241,0.104
SingleSwingLearning,0.644,30771.198,66.236,10275,0.105
SingleSwingLearning,0.616,30845.282,65.411,10291,0.105
SingleSwingLearning,0.621,30911.406,57.742,10275,0.106
SingleSwingLearning,0.639,30978.302,58.498,10261,0.106
SingleSwingLearning,0.652,31043.336,56.711,10243,0.106
SingleSwingLearning,0.623,31106.645,54.956,10299,0.107
SingleSwingLearning,0.654,31149.086,36.555,10278,0.107
SingleSwingLearning,0.616,31212.751,55.980,10258,0.107
SingleSwingLearning,0.614,31279.835,59.554,10250,0.108
SingleSwingLearning,0.615,31343.478,56.255,10258,0.108
SingleSwingLearning,0.618,31397.593,47.117,10266,0.108
SingleSwingLearning,0.669,31448.778,44.394,10284,0.109
SingleSwingLearning,0.604,31505.730,49.703,10278,0.109
SingleSwingLearning,0.622,31555.362,43.197,10282,0.109
SingleSwingLearning,0.627,31600.103,38.760,10261,0.109
SingleSwingLearning,0.645,31652.103,45.468,10298,0.109
SingleSwingLearning,0.622,31703.483,44.776,10282,0.110
SingleSwingLearning,0.613,31754.190,43.839,10278,0.110
SingleSwingLearning,0.614,31807.918,46.607,10255,0.110
SingleSwingLearning,0.611,31854.636,40.372,10252,0.110
SingleSwingLearning,0.621,31910.943,48.642,10285,0.111
SingleSwingLearning,0.614,31949.390,33.360,10270,0.111
SingleSwingLearning,0.613,32000.297,43.863,10249,0.111
SingleSwingLearning,0.616,32057.447,49.553,10268,0.111
SingleSwingLearning,0.646,32110.701,45.704,10260,0.112
SingleSwingLearning,0.631,32153.279,36.510,10257,0.112
SingleSwingLearning,0.637,32192.173,33.712,10248,0.112
SingleSwingLearning,0.625,32241.835,42.816,10293,0.112
SingleSwingLearning,0.714,32293.217,44.269,10251,0.112
SingleSwingLearning,0.657,32348.068,47.081,10278,0.113
SingleSwingLearning,0.626,32397.545,41.896,10248,0.113
SingleSwingLearning,0.623,32441.238,37.501,10254,0.113
SingleSwingLearning,0.648,32479.143,32.759,10270,0.113
SingleSwingLearning,0.621,32520.535,35.759,10283,0.113
