idx,delta,thinkingTime,rot
0,1.851318,3.28,9.38072
1,0.5271,1.2,9.58482
2,1.150912,0.96,13.16154
3,0.5568007,2.58,6.499462
4,2.110422,4.18,8.209704
5,0.9974043,1.18,14.64224
6,1.073889,0.8800011,9.951071
7,0.3082218,6.32,11.00643
8,1.577619,0.7000008,9.96055
9,0.1555804,1.48,6.715769
10,0.9313059,4.82,13.37723
11,0.2816954,2.379997,11.00358
12,0.6733413,1.560001,12.65112
13,0.2662178,0.8400002,9.690829
14,0.3036806,4.540001,5.211852
15,0.2771658,0.02000046,14.02501
16,0.8971668,3.139999,11.37943
17,0.8599809,0.02000046,7.376678
18,0.02514112,1.120003,6.375139
19,0.8021463,0.7000008,11.83463
20,0.285632,2.799999,5.466646
21,0.6523253,0.02000046,7.289305
22,0.9894526,3.260002,7.95133
23,0.05685246,1.880005,7.784902
24,2.056527,9.279999,9.789806
25,0.2956124,1.199997,8.389768
26,0.6283184,4.780006,8.972719
27,1.43291,3.799995,9.613025
28,0.1069113,1.459999,7.621806
29,0.2316135,4.900002,6.44176
30,0.4345645,2.540001,11.38535
31,0.7562677,0.2799988,9.440581
32,0.5082321,1.799995,13.70279
33,1.062026,0.8800049,9.591228
34,0.4802183,6.400002,11.07903
35,0.9984682,0.2000046,9.844357
36,0.5477254,1.759995,12.67654
37,0.9484332,4.780006,11.81938
38,0.08681035,3.600006,6.41571
39,1.172444,0.02000427,6.933009
40,0.5331863,0.8000031,9.187432
41,0.4036337,4.360001,5.68774
42,1.67283,0.02000427,5.277208
43,0.6748818,2.339996,13.05773
44,2.100439,0.2599945,7.629478
45,1.421571,1.059998,11.27755
46,0.6202249,8.199997,10.98731
47,2.416265,0.4599915,14.52921
48,0.8546059,1.199997,13.52992
49,0.2783763,4.860001,6.617803
50,1.896505,8.940002,10.41421
51,0.495462,1.320007,11.9503
52,0.3781236,1.300003,10.47659
53,0.2646573,3.240005,14.36927
54,0.5341694,1.960007,10.26882
55,2.143525,0.7200012,11.44961
56,0.1974819,0.03999329,11.74891
